,role_or_degree,education_code
2508,"bachelor of science (b.s.), tourism",804
2511,"bachelor's degree, business administration major in financial management",1599
2513,"master of business administration - mba, business analytics",2784
2514,"post graduate program, data science and business analytics",3043
2517,elementary,2427
2518,"ba, public administration",355
2521,"certificate program, data science specialization",2246
2522,"certificate program, project leadership",2248
2523,"bachelor's degree, bachelor of science in industrial engineering",1569
2526,"financial management, banking, corporate, finance, and securities law",2474
2527,"accountancy, business and management, senior high school",222
2532,"program for executives, leadership development program",3079
2533,"masters, business administration",2937
2536,"bachelor of arts (ba), journalism",458
2537,innovation and creative enterprise management diploma,2602
2538,"bachelor of science, electrical engineer",1454
2539,"technical, industrial technician",3171
2540,"bachelor's degree, human resources management and services",1664
2541,master of arts in communication research (thesis),2738
2542,liberal arts in mass communication,2656
2543,"master of business administration - mba, business administration",2781
2547,"bachelor's degree, mass communication/media studies",1692
2548,"high school, high school",2544
2549,"bachelor of science in business administration, major in human resource management",1197
2550,b.s. accountancy,297
2552,"bachelor of science - bs, industrial management engineering minor in information technology",1025
2557,"bachelor of science - bs, business administration major in business management",969
2560,"bachelor's degree, bachelor of science in industrial and organizational psychology",1568
2562,"diploma, computer programming",2378
2563,"bachelor science in physical therapy , physical therapy/therapist",1519
2565,"master of science (ms), chemical engineering",2827
2567,"ab mass communication, advertising",188
2574,"bachelor of science in education, elementary education and teaching",1278
2575,"master’s units in, media studies major in broadcast communication",2958
2576,ba broadcast communication,333
2579,bachelor of science in business administration major in human resource development management,1154
2583,"chinese language program, chinese language and literature",2273
2584,"bs applied economics and bs financial management, finance and financial management services",1914
2585,"degree in enterprise administration, economics and social sciences",2333
2586,associate degree in finances,250
2587,"bacherlor of science, psychology",1875
2589,"bachelor of science in chemical engineering, chemical engineering- general",1222
2590,secondary science education,3124
2592,"bachelor of applied science - basc, bachelor of applied science major in environmental science",402
2593,"bachelor of science, bachelor of science major in marketing management",1428
2594,2002 - 2015,96
2595,bachelor science in accountancy,1516
2597,bachelof of science in management accounting,359
2599,"bachelor's degree, management of financial institutions ",1686
2602,"bs engineering management, engineering/industrial management",1986
2603,"bachelor of science in business administration major in operations management, with specialization in business analytics",1167
2605,"post baccalaureate degree in human capital management, human resources development",3033
2606,"bachelor of science (bs), business administration and accountancy",840
2610,"bachelor's degree, engineering/industrial management major in service quality",1647
2614,"bachelor of science in engineering, major in civil engineering",1302
2615,"manufacturing engineering and management, mechatronics, robotics, and automation engineering",2692
2619,"bachelor of pharmacy (b.pharm.), pharmacy, pharmaceutical sciences, and administration",707
2620,"bachelor of science - bs, management acccounting",1042
2621,"major in pehm, bachelor of secondary education",2674
2623,"bachelor of arts, political science",546
2624,"bachelor of arts (b.a.), political science and government",444
2625,"bs in commerce, business administration",2000
2626,"bs commerce, business",1944
2627,"bachelor of science, commerce; business administration (2003",1445
2628,"bachelor’s degree, bs psychology",1794
2634,"ab behavioral science, behavioral science",172
2636,secondary level,3121
2637,"bs business economics, economics",1934
2641,"senior high school, accountancy, business and management track",3137
2642,"bachelor of science in psychology, human resources management/personnel administration, general",1395
2647,"institute of accounting, business, and finance, b.s.accountancy",2603
2649,"diploma in procurement & supply, purchasing, procurement/acquisitions and contracts management",2362
