,Unnamed: 0,Job Title,role_code,Category,Industry,Average/Salary Per Year
5518,8656,senior hr advisor (hr business partner),9525,,,
5519,8659,corporate assistant,2215,,,
5520,8664,refinery plant operator,8504,,,
5521,8665,ta field engineer,11166,,,
5522,8666,internship student,5396,,,
5523,8668,"customer ops specialist, otc ph, global commercial",2562,,,
5524,8669,"customer ops specialist, otc ph, commercial fleet card",2561,,,
5525,8670,ph retail mainline gc csp,7307,,,
5526,8671,au pricing admin 2 / usl customer account specialist,1008,,,
5527,8672,international marine csp - international aviation & marine,5369,,,
5528,8673,supply chain liaison officer us lubes,11019,,,
5529,8674,customer support professional - tier 3 sme ,2679,,,
5530,8675,personal account advisor / tier 2 escalation sme,7290,,,
5531,8676,professor,7820,,,
5532,8677,team lead - global expatriate transactions,11327,,,
5533,8680,hr advisor - expatriate process focal point,4415,,,
5534,8681,"hr advisor - payroll, time, and tax",4421,,,
5535,8683,process data engineer | product manager,7532,,,
5536,8684,process design engineer,7535,,,
5537,8685,global engineering support,3937,,,
5538,8686,"intern - safety, health, and environmental sustainability",5310,,,
5539,8688,contracts and procurement - cp procurement specialist,2168,,,
5540,8689,customer operations specialist - strategic pricing deal management,2549,,,
5541,8690,customer care specialist for global key accounts,2476,,,
5542,8691,order management representative,7118,,,
5543,8695,offshore onboarding specialist ,6894,,,
